代码,名称,推荐策略,最终信号,置信度,买入信号,卖出信号,MACD,布林带,RSI,当前价,日期
sh.600000,浦发银行,bollinger,观望,⭐⭐,0,0,观望,观望,观望,9.86,2026-03-23
sh.600036,招商银行,bollinger,观望,⭐⭐,0,0,观望,观望,观望,38.68,2026-03-23
sh.601398,工商银行,bollinger,观望,⭐⭐,0,0,观望,观望,观望,7.25,2026-03-23
sh.601288,农业银行,bollinger,观望,⭐⭐,0,0,观望,观望,观望,6.47,2026-03-23
sz.300750,宁德时代,macd,谨慎卖出,⭐⭐⭐,0,1,观望,观望,卖出,401.99,2026-03-23
sz.002594,比亚迪,macd,强烈卖出,⭐⭐⭐⭐,0,2,观望,卖出,卖出,107.63,2026-03-23
sh.601138,工业富联,macd,强烈买入,⭐⭐⭐⭐,2,0,观望,买入,买入,47.60,2026-03-23
sz.000333,美的集团,bollinger,谨慎买入,⭐⭐⭐,1,0,观望,买入,观望,73.37,2026-03-23
sh.600887,伊利股份,bollinger,谨慎买入,⭐⭐⭐,1,0,观望,买入,观望,25.49,2026-03-23
sh.600276,恒瑞医药,macd,谨慎买入,⭐⭐⭐,1,0,观望,买入,观望,52.78,2026-03-23
sh.600519,贵州茅台,bollinger,观望,⭐⭐,0,0,观望,观望,观望,1408.07,2026-03-23
sh.000858,五粮液,macd,谨慎买入,⭐⭐⭐,1,0,观望,买入,观望,10149.37,2026-03-23
